,Education,EducationField,Gender,MaritalStatus,Age,YearsSinceLastPromotion,YearsWithCurrManager,TotalWorkingYears,NumCompaniesWorked,Country,Attrition,BusinessTravel,Department,JobLevel,JobRole,MonthlyIncome,OverTime,PercentSalaryHike,TrainingTimesLastYear,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,RelationshipSatisfaction
371,,Life Sciences,Female,Single,34,0,8,13,0.0,Washington,No,Travel_Rarely,Research & Development,3,Research Director,11994,No,11,4,Low,High,Medium,High
372,Master,Medical,Male,Married,29,0,1,10,1.0,Finlandia,No,Travel_Rarely,Research & Development,3,Research Director,11935,No,18,2,Medium,Medium,,High
373,Bachelor,Life Sciences,Male,Married,34,1,0,14,4.0,Vermont,No,Travel_Frequently,Human Resources,2,Human Resources,4490,No,11,5,High,Medium,Medium,Very High
374,College,Life Sciences,Male,Single,32,3,2,8,0.0,Wyoming,No,Travel_Frequently,Research & Development,1,Laboratory Technician,3068,No,13,2,Very High,High,Very High,High
375,Master,Life Sciences,Female,Married,36,0,3,11,7.0,Alabama,No,Non-Travel,Research & Development,2,Laboratory Technician,5674,No,15,3,Medium,High,,High
376,,Life Sciences,Male,Married,32,0,1,10,6.0,Virginia Occidental,No,Travel_Frequently,Research & Development,1,Research Scientist,3433,No,13,3,Low,High,,Low
377,Master,Technical Degree,Male,Married,32,1,2,9,4.0,Arizona,No,Non-Travel,Research & Development,2,Research Scientist,4087,No,14,3,Very High,High,Low,Medium
378,Bachelor,Life Sciences,Female,Single,20,1,0,1,1.0,Italia,Yes,Travel_Frequently,Research & Development,1,Laboratory Technician,2926,Yes,18,5,Very High,Medium,Very High,Medium
379,Bachelor,Medical,Male,Divorced,40,0,2,8,2.0,Reino Unido,No,Travel_Rarely,Research & Development,1,Research Scientist,2345,No,14,3,High,High,High,High
380,College,Life Sciences,Male,Divorced,27,0,2,5,1.0,Grecia,No,Travel_Rarely,Research & Development,1,Research Scientist,2517,No,11,2,Low,High,High,Medium
381,Master,Life Sciences,Male,Married,38,0,0,14,9.0,California,No,Travel_Rarely,Research & Development,2,Manufacturing Director,6553,No,14,3,Very High,High,High,Medium
382,College,Life Sciences,Male,Divorced,57,0,0,12,3.0,Alemania,No,Travel_Rarely,Research & Development,3,Healthcare Representative,9439,Yes,16,2,High,Very High,Very High,Medium
383,Master,Marketing,Male,Single,60,1,1,10,8.0,Maryland,No,Travel_Rarely,Sales,2,Sales Executive,5405,No,14,1,Low,High,Low,Very High
384,,Life Sciences,Male,Divorced,31,1,5,10,3.0,Hawaii,No,Travel_Rarely,Research & Development,2,Laboratory Technician,5915,No,22,3,Very High,High,Very High,Very High
385,Bachelor,Medical,Male,Single,39,0,3,6,0.0,Hungría,Yes,Travel_Rarely,Research & Development,1,Research Scientist,3904,No,13,2,High,High,Low,Low
386,Below College,Medical,Female,Divorced,27,0,4,6,1.0,Nueva Jersey,No,Travel_Frequently,Sales,2,Sales Executive,4647,Yes,20,3,Very High,Very High,Very High,Medium
387,Bachelor,Medical,Male,Married,33,2,6,14,0.0,Oklahoma,No,Travel_Rarely,Research & Development,3,Research Director,11691,No,11,3,High,High,High,Very High
388,Doctor,Medical,Male,Married,38,0,0,6,6.0,Grecia,No,Travel_Rarely,Research & Development,1,Research Scientist,3057,Yes,13,0,Very High,High,High,Medium
389,Master,Medical,Male,Single,31,0,0,1,1.0,Nuevo México,No,Travel_Rarely,Research & Development,1,Research Scientist,2501,No,17,4,High,High,Medium,Medium
390,Master,Other,Male,Divorced,40,0,7,11,3.0,Delaware,No,Non-Travel,Research & Development,2,Laboratory Technician,3975,No,11,2,High,High,High,High
391,,Life Sciences,Female,Married,46,0,1,14,5.0,Wyoming,Yes,Travel_Rarely,Sales,3,Sales Executive,7314,No,21,2,High,High,Medium,High
392,,Medical,Female,Married,32,3,2,8,1.0,Alemania,No,Travel_Rarely,Research & Development,2,Manufacturing Director,6725,No,12,2,High,High,Low,
393,,Life Sciences,Male,Divorced,38,3,0,17,0.0,Reino Unido,No,,Sales,3,Sales Executive,10609,No,12,6,Low,High,High,High
394,Master,Life Sciences,Female,Divorced,48,3,5,18,8.0,Utah,No,Travel_Rarely,Sales,2,Sales Executive,6439,No,14,2,High,High,High,High
395,,Life Sciences,Male,Married,30,0,1,7,3.0,Nueva Jersey,No,Travel_Rarely,Research & Development,1,Laboratory Technician,3833,No,21,2,Very High,Low,High,High
396,Below College,Medical,Male,Single,18,0,0,0,1.0,Dinamarca,Yes,,Research & Development,1,Laboratory Technician,1904,No,12,0,High,High,High,Very High
397,Bachelor,Life Sciences,Female,Divorced,47,7,2,28,8.0,Iowa,No,Travel_Rarely,Research & Development,3,Manufacturing Director,10333,Yes,12,4,High,Medium,Medium,High
398,Master,Life Sciences,Male,Married,51,0,1,10,3.0,Alabama,No,Travel_Rarely,Research & Development,1,Laboratory Technician,2075,No,23,4,Very High,High,Very High,Medium
399,,Life Sciences,Male,Married,36,0,0,4,4.0,Suecia,No,Travel_Frequently,Research & Development,1,Laboratory Technician,3688,No,18,2,High,Very High,Very High,Very High
400,Bachelor,Medical,Female,Divorced,40,1,5,20,1.0,Indiana,No,Travel_Frequently,Research & Development,2,Research Scientist,5605,No,11,2,Medium,High,Medium,Low
401,College,Medical,Male,Married,45,3,8,21,0.0,Washington,No,Travel_Rarely,Research & Development,4,Healthcare Representative,13496,Yes,14,2,High,High,Very High,Medium
402,Master,Technical Degree,Male,Married,55,0,1,19,8.0,Utah,No,,Research & Development,1,Research Scientist,2662,No,20,2,Medium,Medium,,Medium
403,Bachelor,Life Sciences,Female,Married,50,0,6,19,0.0,Alemania,No,Non-Travel,Sales,2,Sales Executive,6347,No,12,3,Very High,High,High,Low
404,Below College,Marketing,Male,Divorced,27,0,1,5,0.0,Países Bajos,Yes,Travel_Rarely,Sales,1,Sales Representative,3041,No,11,3,High,High,Low,Medium
405,Bachelor,Life Sciences,Male,Single,43,0,1,7,4.0,Arkansas,No,Non-Travel,Research & Development,1,Research Scientist,2438,No,13,2,Low,High,High,High
406,Bachelor,Medical,Female,Single,54,7,3,29,6.0,Países Bajos,No,Travel_Rarely,Research & Development,4,Research Director,17328,No,19,3,Very High,High,Very High,Very High
407,College,Marketing,Female,Married,40,0,7,15,3.0,Maine,No,Travel_Rarely,Sales,2,Sales Executive,5677,No,14,4,Medium,High,Medium,High
408,Master,Marketing,Male,Married,50,2,0,4,7.0,Austria,No,Travel_Rarely,Sales,1,Sales Representative,3875,No,15,2,Very High,High,Medium,Very High
409,Master,Marketing,Female,Single,36,0,0,15,3.0,Países Bajos,No,Travel_Rarely,Sales,2,Sales Executive,9278,Yes,16,3,Low,High,Medium,Very High
410,Bachelor,Medical,Female,Single,39,2,7,21,1.0,Nebraska,No,Travel_Frequently,Research & Development,3,Manufacturing Director,10880,Yes,13,2,Very High,High,Low,High
411,Bachelor,Life Sciences,Male,Married,46,0,0,26,6.0,Suiza,No,Travel_Rarely,Research & Development,4,Research Director,17861,No,13,2,Low,High,,High
412,,Life Sciences,Female,Married,45,0,0,5,2.0,Portugal,Yes,Travel_Frequently,Sales,2,Sales Executive,4286,No,14,4,Low,High,Low,Very High
413,Bachelor,Medical,Male,Married,38,1,0,7,4.0,Alemania,Yes,Travel_Rarely,Research & Development,2,Manufacturing Director,4855,No,11,2,High,High,Medium,Low
414,College,Other,Male,Divorced,35,0,0,1,1.0,Carolina del Sur,No,Travel_Rarely,Research & Development,1,Laboratory Technician,1951,No,12,3,High,High,Very High,High
415,College,Life Sciences,Male,Divorced,46,4,7,12,3.0,Bélgica,No,Travel_Rarely,Research & Development,3,Manufacturing Director,8578,No,14,4,Very High,High,Very High,High
416,Master,Life Sciences,Male,Single,32,0,0,1,1.0,Francia,Yes,Travel_Rarely,Research & Development,1,Laboratory Technician,2795,Yes,24,2,Low,High,,High
417,Master,Life Sciences,Male,Divorced,30,0,3,8,8.0,Utah,No,Travel_Rarely,Sales,2,Sales Executive,4115,No,19,3,High,High,Low,High
418,Master,Life Sciences,Male,Married,47,5,8,10,1.0,Minnesota,Yes,Non-Travel,Research & Development,3,Manager,11849,Yes,12,2,Low,High,Medium,Very High
419,Bachelor,Human Resources,Male,Married,36,0,3,8,4.0,Maryland,No,Travel_Rarely,Human Resources,1,Human Resources,2143,No,13,2,High,High,Medium,
420,College,Life Sciences,Male,Single,21,0,0,0,1.0,Pensilvania,No,Travel_Rarely,Research & Development,1,Research Scientist,1232,No,14,6,High,High,Very High,Very High
421,College,Life Sciences,Male,Divorced,33,2,1,9,1.0,Alemania,No,Travel_Frequently,Research & Development,2,Healthcare Representative,5968,No,20,2,Very High,High,High,High
422,Master,Medical,Male,Married,51,0,0,10,2.0,Nuevo México,No,Travel_Rarely,Research & Development,2,Manufacturing Director,6132,No,17,2,Medium,Medium,,
423,Below College,Technical Degree,Male,Married,25,2,0,7,1.0,Croacia,Yes,Travel_Rarely,Research & Development,1,Laboratory Technician,3691,Yes,15,3,Very High,High,Very High,Medium
424,,Life Sciences,Female,Single,32,0,0,8,3.0,Suecia,Yes,Travel_Frequently,Research & Development,1,Research Scientist,2432,Yes,14,2,Low,Very High,High,Low
425,Bachelor,Medical,Male,Divorced,51,1,2,13,5.0,Misisipi,No,Travel_Rarely,Research & Development,2,Manufacturing Director,5482,No,18,3,Very High,Low,Medium,Very High
426,Master,Marketing,Female,Divorced,24,0,2,5,1.0,Alemania,No,Travel_Rarely,Sales,2,Sales Executive,4260,Yes,12,2,Very High,High,High,Very High
427,Master,Technical Degree,Male,Married,34,6,1,8,1.0,Nebraska,No,Travel_Frequently,Research & Development,2,Healthcare Representative,5063,No,14,3,Very High,Medium,High,Medium
428,Master,Life Sciences,Male,Single,40,1,2,8,2.0,Misisipi,No,,Research & Development,1,Research Scientist,2809,No,14,2,High,Medium,High,Very High
429,Master,Life Sciences,Female,Married,48,0,2,21,7.0,Connecticut,No,Travel_Rarely,Research & Development,4,Manager,15402,No,11,3,Very High,Medium,,Low
430,Master,Medical,Male,Single,59,3,1,25,6.0,Croacia,No,Travel_Rarely,Research & Development,3,Manufacturing Director,10512,No,12,6,Very High,High,Very High,Very High
431,Doctor,Marketing,Male,Divorced,36,1,2,16,5.0,Iowa,Yes,Travel_Rarely,Sales,2,Sales Executive,6134,Yes,13,3,Medium,Medium,Low,Medium
432,Bachelor,Medical,Male,Married,46,8,5,21,2.0,Misisipi,No,Travel_Frequently,Research & Development,3,Healthcare Representative,10673,Yes,13,5,High,Medium,Low,High
433,,Life Sciences,Male,Married,30,1,6,11,1.0,Arizona,No,Travel_Rarely,Research & Development,2,Healthcare Representative,4152,No,19,3,High,Medium,Very High,Low
434,Master,Medical,Female,Divorced,39,6,2,21,6.0,Alabama,No,Travel_Rarely,Research & Development,4,Manager,17123,Yes,13,4,High,Medium,Medium,Very High
435,Master,Marketing,Male,Married,47,0,0,4,7.0,Austria,No,Non-Travel,Sales,2,Sales Executive,4978,No,11,3,High,High,Medium,Very High
436,Master,Life Sciences,Male,Divorced,31,0,1,3,0.0,España,No,Travel_Rarely,Research & Development,1,Research Scientist,2695,Yes,18,2,High,High,Very High,Medium
437,Bachelor,Life Sciences,Male,Married,36,9,10,16,0.0,Rumania,No,Travel_Rarely,Research & Development,1,Laboratory Technician,3210,No,11,4,Very High,High,Very High,High
438,Below College,Medical,Female,Married,46,0,1,28,5.0,New Hampshire,No,Travel_Frequently,Research & Development,3,Healthcare Representative,10527,No,11,3,Low,High,High,Very High
439,Bachelor,Marketing,Female,Single,32,0,5,9,1.0,Nueva Jersey,No,Travel_Frequently,Sales,3,Sales Executive,8998,No,14,2,Medium,High,Very High,Very High
440,College,Medical,Male,Single,31,0,4,6,0.0,Oregón,Yes,Travel_Frequently,Research & Development,1,Laboratory Technician,3479,No,11,2,High,Medium,Medium,Medium
441,,Life Sciences,Female,Divorced,40,0,2,12,4.0,Nebraska,No,Travel_Rarely,Research & Development,2,Healthcare Representative,6513,No,17,3,High,High,Very High,Very High
442,Below College,Medical,Female,Married,48,0,0,15,3.0,Croacia,No,Travel_Rarely,Sales,3,Manager,12504,No,21,3,Low,High,High,Medium
443,College,Medical,Male,Married,30,1,5,12,1.0,Croacia,No,Travel_Rarely,Research & Development,1,Laboratory Technician,3748,No,13,6,Very High,High,Medium,High
444,Master,Marketing,Male,Divorced,34,0,0,16,0.0,Maine,No,Travel_Rarely,Sales,2,Sales Executive,9725,No,11,2,Medium,Very High,Very High,Very High
445,Bachelor,Medical,Female,Single,19,0,0,1,1.0,Nueva Jersey,Yes,Non-Travel,Research & Development,1,Research Scientist,1859,Yes,25,2,Low,Medium,Medium,Medium
446,Bachelor,Life Sciences,Female,Single,59,1,3,28,7.0,Reino Unido,No,,Sales,3,Sales Executive,7637,No,11,3,Low,High,Low,Very High
447,Bachelor,Life Sciences,Male,Married,30,3,2,10,1.0,Massachusetts,Yes,,Sales,2,Sales Executive,9714,No,11,4,Medium,Medium,,Very High
448,Master,Marketing,Female,Married,36,0,0,8,4.0,Rumania,No,Travel_Rarely,Sales,2,Sales Executive,6652,No,13,2,Medium,Medium,Very High,Low
449,Master,Other,Male,Married,38,2,0,8,3.0,Carolina del Norte,No,Travel_Frequently,Research & Development,1,Research Scientist,2821,No,16,2,High,High,,
450,Master,Life Sciences,Male,Married,58,2,2,23,2.0,Polonia,No,Travel_Frequently,Research & Development,4,Research Director,15787,Yes,14,3,Low,High,High,Medium
451,Bachelor,Marketing,Female,Married,46,0,1,28,8.0,Nevada,No,Travel_Rarely,Sales,4,Manager,17048,No,23,2,High,High,Low,Low
452,Bachelor,Medical,Male,Divorced,33,0,6,9,1.0,Reino Unido,No,Travel_Rarely,Sales,2,Sales Executive,4037,No,22,5,Low,Very High,Low,Low
453,Bachelor,Other,Female,Single,28,1,1,10,3.0,Suiza,No,Travel_Rarely,Research & Development,2,Research Scientist,3660,No,13,4,High,High,High,Very High
454,Master,Life Sciences,Female,Married,33,0,0,8,1.0,Noruega,No,Travel_Frequently,Research & Development,1,Research Scientist,2909,Yes,11,3,Very High,High,High,High
455,Bachelor,Life Sciences,Female,Married,50,0,3,28,3.0,Polonia,No,Travel_Frequently,Research & Development,5,Research Director,18172,Yes,19,1,Low,High,Medium,Low
456,Bachelor,Medical,Male,Married,55,1,3,24,5.0,Suecia,Yes,Travel_Rarely,Research & Development,5,Manager,19859,Yes,13,2,Very High,High,,Very High
457,Bachelor,Medical,Female,Divorced,55,0,0,21,2.0,Polonia,No,Travel_Rarely,Research & Development,4,Manager,14756,Yes,14,2,Very High,High,High,High
458,Bachelor,Technical Degree,Male,Single,26,0,1,6,6.0,Texas,Yes,Travel_Rarely,Sales,2,Sales Executive,5326,No,17,2,Very High,Medium,Low,High
459,College,Medical,Male,Divorced,22,0,0,1,1.0,Francia,No,Non-Travel,Research & Development,1,Laboratory Technician,2935,Yes,13,2,Very High,Very High,Very High,Medium
460,Bachelor,Life Sciences,Female,Single,55,1,1,30,2.0,República Checa,No,Travel_Rarely,Research & Development,4,Manager,16659,Yes,13,2,High,High,Very High,High
461,College,Medical,Male,Divorced,32,0,1,9,0.0,Italia,No,Travel_Frequently,Sales,2,Sales Executive,4668,No,17,2,Very High,Low,Very High,Very High
462,College,Life Sciences,Female,Divorced,26,1,0,5,3.0,Italia,No,Travel_Frequently,Research & Development,1,Laboratory Technician,4364,No,14,2,Low,Low,,Low
463,,Life Sciences,Female,Married,56,1,0,5,2.0,Tennessee,No,Travel_Rarely,Research & Development,1,Research Scientist,2066,No,22,3,Low,High,Low,Very High
464,Bachelor,Technical Degree,Male,Divorced,55,0,2,8,5.0,Carolina del Norte,No,Travel_Rarely,Research & Development,1,Research Scientist,3537,No,12,1,Low,Medium,,Very High
465,College,Life Sciences,Male,Married,43,0,0,22,6.0,Vermont,No,Travel_Rarely,Research & Development,4,Research Director,17159,No,24,3,Medium,High,Low,High
466,Master,Life Sciences,Female,Divorced,31,6,3,10,1.0,Iowa,No,Non-Travel,Sales,3,Sales Executive,9852,Yes,19,5,Very High,High,High,Low
467,Master,Life Sciences,Female,Married,34,0,0,1,1.0,Rumania,No,Travel_Rarely,Sales,1,Sales Representative,2220,Yes,19,2,High,High,High,Very High
468,College,Life Sciences,Female,Single,25,1,0,5,1.0,Países Bajos,No,Travel_Rarely,Sales,2,Sales Executive,4487,Yes,11,3,Medium,Medium,,Medium
469,,Life Sciences,Male,Married,23,0,0,1,1.0,Hungría,Yes,Travel_Rarely,Research & Development,1,Laboratory Technician,1601,Yes,21,2,High,Very High,Low,High
470,Bachelor,Life Sciences,Female,Married,36,1,2,6,4.0,Maine,No,Travel_Rarely,Research & Development,1,Research Scientist,2543,No,13,3,Very High,High,,Medium
471,,Life Sciences,Female,Married,36,0,1,7,9.0,Italia,No,Travel_Rarely,Research & Development,2,Manufacturing Director,4663,Yes,12,2,High,High,High,
472,Bachelor,Medical,Male,Divorced,37,2,1,13,4.0,Alabama,No,Travel_Rarely,Research & Development,2,Research Scientist,5974,Yes,13,2,High,Very High,Low,Low
473,Master,Other,Male,Divorced,39,1,1,7,8.0,Dakota del Sur,No,Travel_Rarely,Research & Development,2,Research Scientist,3902,No,14,2,Very High,High,Very High,
474,Bachelor,Technical Degree,Male,Married,47,1,2,17,7.0,Bélgica,No,Travel_Rarely,Research & Development,1,Research Scientist,3420,No,12,2,Low,High,Very High,High
475,Master,Life Sciences,Female,Divorced,46,1,0,19,8.0,Países Bajos,No,Travel_Rarely,Research & Development,2,Research Scientist,4615,Yes,23,2,Very High,Medium,Low,Low
476,Bachelor,Medical,Female,Married,37,0,3,8,1.0,Nueva Jersey,No,Travel_Rarely,Research & Development,1,Research Scientist,3936,No,11,2,Medium,High,Medium,Low
477,Below College,Life Sciences,Male,Married,24,0,0,6,0.0,Portugal,No,Non-Travel,Research & Development,1,Laboratory Technician,3162,No,17,2,Low,Medium,,Very High
478,,Life Sciences,Female,Married,24,0,0,1,1.0,California,Yes,Travel_Rarely,Research & Development,1,Laboratory Technician,2210,No,13,3,Very High,High,Medium,Low
479,Bachelor,Medical,Male,Divorced,39,0,0,19,0.0,Alemania,No,Travel_Rarely,Research & Development,3,Healthcare Representative,9613,No,17,5,High,Very High,Very High,Low
480,,Life Sciences,Female,Married,43,0,0,10,8.0,Italia,No,Travel_Rarely,Research & Development,3,Healthcare Representative,9985,No,16,1,High,High,Low,Low
481,Master,Marketing,Female,Single,49,0,0,8,3.0,Nueva Jersey,No,Travel_Rarely,Sales,2,Sales Executive,4507,No,12,1,Very High,High,Very High,High
482,Bachelor,Other,Male,Single,34,1,5,15,3.0,Vermont,No,Travel_Rarely,Sales,2,Sales Executive,4759,No,18,2,Very High,Low,Low,Very High
483,Master,Life Sciences,Male,Single,46,0,6,27,1.0,Italia,No,Travel_Rarely,Sales,4,Manager,17567,No,15,5,Very High,Very High,Low,Medium
484,Master,Technical Degree,Male,Married,49,0,2,20,2.0,Noruega,No,Travel_Rarely,Research & Development,2,Healthcare Representative,6651,No,14,0,Low,High,High,Medium
485,Master,Life Sciences,Male,Single,56,0,7,36,6.0,Kansas,No,Travel_Rarely,Human Resources,5,Manager,19717,No,14,4,Very High,High,Medium,Low
486,,Life Sciences,Male,Single,49,0,0,23,4.0,Colorado,No,,Research & Development,4,Manager,15379,No,14,2,High,High,,Low
487,Below College,Life Sciences,Male,Single,34,0,4,7,0.0,Austria,No,Travel_Frequently,Research & Development,2,Healthcare Representative,7756,No,17,1,Low,High,Very High,High
488,Below College,Technical Degree,Male,Divorced,42,0,0,4,0.0,Utah,No,Travel_Rarely,Human Resources,1,Human Resources,2696,Yes,11,5,High,High,High,High
489,Bachelor,Medical,Male,Married,31,1,2,2,1.0,Noruega,Yes,Travel_Frequently,Research & Development,1,Laboratory Technician,2610,No,12,5,High,High,High,High
490,College,Medical,Male,Married,34,3,2,15,1.0,Carolina del Norte,No,Travel_Rarely,Research & Development,2,Laboratory Technician,3986,No,14,3,Medium,Medium,Very High,High
491,Master,Life Sciences,Female,Married,39,0,1,10,6.0,Nebraska,No,,Sales,2,Sales Executive,5736,No,19,1,Low,Low,High,High
492,Below College,Medical,Female,Single,40,2,3,5,0.0,Dinamarca,No,Travel_Rarely,Research & Development,1,Research Scientist,2342,Yes,20,2,Very High,Medium,Very High,Very High
493,Bachelor,Life Sciences,Female,Single,38,0,1,8,2.0,República Checa,No,Travel_Rarely,Sales,2,Sales Executive,4198,No,12,5,Medium,High,Medium,Medium
494,Bachelor,Medical,Female,Single,18,0,0,0,1.0,Maine,No,Travel_Rarely,Sales,1,Sales Representative,1200,No,12,2,Very High,Medium,High,Low
495,Master,Other,Male,Married,29,0,6,7,1.0,Suecia,Yes,,Research & Development,1,Laboratory Technician,2119,Yes,11,4,Medium,Low,,Very High
496,Master,Life Sciences,Male,Married,36,0,1,9,3.0,España,No,Travel_Frequently,Research & Development,2,Laboratory Technician,5562,Yes,13,3,Low,Very High,Low,Very High
497,College,Life Sciences,Female,Single,21,2,2,2,1.0,Austria,Yes,Travel_Frequently,Research & Development,1,Laboratory Technician,2625,No,20,2,Low,Medium,High,High
498,,Other,Male,Single,49,0,0,26,8.0,Polonia,No,,Research & Development,3,Healthcare Representative,10965,No,24,2,Medium,Medium,,High
499,Doctor,Life Sciences,Female,Single,42,0,0,16,2.0,Carolina del Sur,No,Travel_Rarely,Research & Development,4,Research Director,15992,No,14,2,Low,High,Very High,Medium
500,Bachelor,Life Sciences,Female,Married,35,5,14,17,1.0,Michigan,No,Travel_Rarely,Research & Development,3,Manufacturing Director,10685,Yes,20,2,Very High,Medium,,Medium
501,Below College,Medical,Male,Single,23,0,1,2,1.0,Países Bajos,No,Travel_Rarely,Research & Development,1,Research Scientist,3505,No,18,3,Low,Very High,High,Very High
502,Bachelor,Life Sciences,Male,Single,35,3,0,6,0.0,Finlandia,No,Travel_Rarely,Research & Development,1,Laboratory Technician,4230,No,15,2,Very High,Low,High,High
503,Bachelor,Life Sciences,Male,Single,41,0,2,11,3.0,Suecia,No,Travel_Rarely,Research & Development,2,Healthcare Representative,6870,No,12,3,Medium,Very High,Medium,Low
504,Bachelor,Life Sciences,Male,Married,25,1,0,6,2.0,Kansas,No,Travel_Rarely,Sales,2,Sales Executive,8639,No,18,3,Low,Medium,High,Very High
505,,Marketing,Male,Single,27,0,1,7,1.0,Carolina del Sur,No,Travel_Rarely,Sales,2,Sales Executive,4105,No,14,5,Very High,High,Very High,Low
506,Bachelor,Medical,Male,Married,34,5,5,10,4.0,Croacia,No,Travel_Rarely,Research & Development,2,Laboratory Technician,5429,No,13,1,Medium,High,High,Low
507,Master,Technical Degree,Female,Single,39,11,4,20,1.0,Connecticut,No,Travel_Rarely,Research & Development,2,Healthcare Representative,4553,No,11,4,Very High,Medium,High,Low
508,Bachelor,Medical,Male,Single,33,2,2,5,4.0,Austria,Yes,Travel_Rarely,Research & Development,1,Research Scientist,2313,Yes,20,0,Low,Medium,Medium,Medium
509,Master,Life Sciences,Male,Married,40,10,9,22,1.0,Polonia,No,Travel_Frequently,Research & Development,4,Healthcare Representative,13503,No,22,3,High,Medium,Medium,Very High
510,Master,Technical Degree,Male,Married,40,6,1,14,4.0,Alaska,No,Travel_Rarely,Research & Development,3,Healthcare Representative,10322,No,20,6,Low,High,Very High,Very High
511,,Medical,Female,Single,27,1,1,6,1.0,Rhode Island,No,Travel_Rarely,Research & Development,1,Research Scientist,3445,No,11,5,High,High,Very High,High
512,Bachelor,Medical,Female,Single,20,0,0,1,1.0,Kentucky,Yes,Travel_Rarely,Research & Development,1,Research Scientist,2600,Yes,15,2,Very High,Medium,Low,Low
513,College,Life Sciences,Male,Divorced,40,2,0,8,3.0,Bélgica,No,Non-Travel,Research & Development,2,Healthcare Representative,4069,Yes,18,2,Very High,High,Very High,High
514,College,Medical,Female,Married,30,1,0,11,1.0,Suiza,No,Travel_Rarely,Research & Development,2,Research Scientist,5775,No,13,2,Very High,High,Very High,Very High
515,Master,Life Sciences,Female,Divorced,26,0,0,8,0.0,Michigan,Yes,Travel_Frequently,Human Resources,1,Human Resources,2741,Yes,11,2,Medium,High,High,Medium
516,College,Life Sciences,Male,Married,31,0,1,3,0.0,Arkansas,No,Travel_Rarely,Sales,1,Sales Representative,3067,No,19,1,Low,High,High,High
517,College,Life Sciences,Female,Married,27,0,7,9,1.0,Nueva York,No,Travel_Rarely,Research & Development,3,Manufacturing Director,7412,No,11,3,High,High,Low,Very High
518,Bachelor,Life Sciences,Male,Single,29,0,0,1,1.0,Maryland,No,Travel_Rarely,Sales,1,Sales Representative,2642,No,11,6,High,High,,High
519,Bachelor,Life Sciences,Female,Single,29,0,0,3,6.0,Noruega,Yes,Travel_Rarely,Research & Development,1,Research Scientist,2404,Yes,20,5,Very High,Medium,Low,High
520,College,Life Sciences,Female,Single,27,0,0,6,0.0,Hungría,No,Travel_Frequently,Research & Development,1,Laboratory Technician,2379,Yes,14,3,Very High,High,Very High,High
521,Master,Life Sciences,Male,Single,28,0,0,5,2.0,Colorado,Yes,,Research & Development,1,Laboratory Technician,3485,No,11,5,Low,High,High,High
522,,Medical,Female,Single,35,0,1,6,1.0,España,No,Travel_Rarely,Research & Development,1,Research Scientist,2559,No,11,3,High,Medium,Low,
523,,Other,Female,Married,49,0,4,29,4.0,Hungría,No,Travel_Rarely,Research & Development,3,Laboratory Technician,7403,No,11,3,Low,High,Medium,High
524,College,Marketing,Male,Married,50,0,1,3,1.0,Connecticut,Yes,Travel_Rarely,Sales,1,Sales Representative,2683,Yes,14,2,Low,Medium,High,High
525,Master,Life Sciences,Female,Single,54,0,0,19,7.0,Vermont,No,Travel_Rarely,Research & Development,2,Laboratory Technician,3780,No,11,3,High,High,High,High
526,Bachelor,Medical,Male,Married,44,0,1,17,4.0,Dinamarca,No,Non-Travel,Research & Development,2,Laboratory Technician,2042,No,12,3,Medium,High,Medium,High
527,Doctor,Life Sciences,Male,Married,27,0,0,3,1.0,Dinamarca,No,Non-Travel,Research & Development,1,Laboratory Technician,4621,No,19,4,Low,Low,High,Very High
528,,Life Sciences,Female,Divorced,32,0,0,1,1.0,Pensilvania,No,Non-Travel,Sales,1,Sales Representative,2827,No,12,3,High,High,Low,High
529,Bachelor,Medical,Male,Divorced,43,2,2,7,4.0,Grecia,No,Non-Travel,Research & Development,1,Research Scientist,2089,No,14,3,Very High,Very High,Very High,Very High
530,Below College,Medical,Male,Married,25,1,1,2,1.0,Washington,No,Travel_Rarely,Research & Development,1,Research Scientist,2889,No,11,2,Very High,Medium,,High
531,Below College,Medical,Male,Single,30,1,0,6,0.0,Francia,No,Travel_Rarely,Research & Development,1,Laboratory Technician,2720,No,13,3,Medium,Medium,Very High,Very High
532,Below College,Life Sciences,Male,Divorced,30,0,0,1,1.0,Vermont,No,Travel_Rarely,Research & Development,1,Laboratory Technician,2693,No,22,2,Very High,High,High,Medium
533,Master,Medical,Female,Single,34,2,6,16,0.0,Suiza,Yes,Travel_Rarely,Sales,2,Sales Executive,4599,Yes,23,2,Low,Medium,Medium,High
534,Doctor,Life Sciences,Female,Married,41,9,0,22,7.0,New Hampshire,No,Travel_Rarely,Sales,4,Manager,16595,No,16,2,Medium,High,Low,Medium
535,College,Medical,Female,Married,33,3,1,10,0.0,Austria,No,Travel_Rarely,Research & Development,2,Healthcare Representative,4878,Yes,13,6,Medium,High,Very High,Low
536,Below College,Medical,Female,Divorced,24,1,2,5,1.0,Virginia,No,Travel_Rarely,Research & Development,2,Manufacturing Director,4377,No,15,6,Very High,Medium,High,Medium
537,Master,Medical,Male,Single,45,0,2,12,4.0,Alemania,No,Travel_Frequently,Research & Development,2,Healthcare Representative,5399,No,12,3,Medium,High,,High
538,Bachelor,Life Sciences,Male,Divorced,51,5,6,31,4.0,Italia,No,Travel_Frequently,Sales,5,Manager,19847,Yes,24,5,Very High,High,Medium,Low
