,Education,EducationField,Gender,MaritalStatus,Age,EmployeeId,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TotalWorkingYears,NumCompaniesWorked,Country,Attrition,BusinessTravel,Department,JobLevel,JobRole,MonthlyIncome,OverTime,PercentSalaryHike,TrainingTimesLastYear,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,RelationshipSatisfaction
285,,Life Sciences,Male,Single,39,ec679f19-84ac-40e8-a579-cd7dbcb85943,0,0,3,9,0.0,Francia,No,Travel_Rarely,Sales,3,Sales Executive,7880,No,18,3,Low,Very High,,Very High
286,College,Life Sciences,Female,Married,34,d50393d8-b280-477c-8fff-55a2f79feaac,8,0,2,6,5.0,Vermont,No,,Sales,2,Sales Executive,6500,No,17,1,High,High,Low,Medium
287,,Technical Degree,Female,Married,41,c821a6ac-d4b7-4835-9df2-e7fe7ae57405,14,0,6,23,1.0,Georgia,Yes,,Research & Development,5,Research Director,19545,No,12,0,Medium,High,,Very High
288,,Technical Degree,Female,Married,36,26bc0cb5-62e2-4237-bc43-f926dcf2cf81,11,0,3,10,0.0,Rumania,No,Travel_Frequently,Sales,3,Sales Executive,9738,No,14,6,Medium,High,Very High,High
289,College,Life Sciences,Male,Divorced,27,39d96969-c166-4814-9e2a-bf9d1d3c9e37,19,1,6,9,1.0,Massachusetts,No,,Research & Development,3,Manufacturing Director,8793,No,21,4,Very High,High,Low,High
290,Below College,Other,Male,Married,25,1017a83b-d17d-4201-9538-da014d3bfbd0,1,0,0,5,1.0,Arizona,No,Travel_Rarely,Sales,2,Sales Executive,4194,Yes,18,3,High,High,Low,Very High
291,Bachelor,Medical,Female,Single,45,bc8876c9-0259-4b67-b068-418fd6e6075d,3,5,1,23,6.0,Polonia,No,Non-Travel,Sales,3,Sales Executive,8865,No,12,2,Very High,Medium,Very High,Very High
292,,Technical Degree,Female,Single,19,a2761968-f118-4886-8976-d6dd696fea11,20,0,0,1,0.0,Alemania,Yes,,Sales,1,Sales Representative,2325,No,21,5,High,Low,Low,Low
293,Master,Medical,Male,Married,32,5b3a0c75-3726-4098-a152-6cc12ffd8cd4,19,4,4,14,1.0,Países Bajos,Yes,Travel_Rarely,Sales,3,Sales Executive,10400,No,11,2,Very High,Low,Very High,High
294,Master,Medical,Male,Single,28,7d3bbb5a-1963-44ff-9739-8f11a4a2aeb7,16,0,1,4,1.0,Reino Unido,No,Travel_Rarely,Sales,2,Sales Executive,4908,No,14,3,Low,High,Very High,Medium
295,Below College,Medical,Female,Single,36,d638c743-2578-453e-acd0-04e4ac14dea8,3,1,3,8,,República Checa,No,Travel_Frequently,Research & Development,1,Laboratory Technician,2153,No,13,2,Medium,High,Very High,Low
296,Master,Medical,Male,Married,40,04ac41a2-30c6-4b50-97a7-fa0c26e9070d,5,0,0,5,5.0,Suiza,No,Travel_Frequently,Sales,2,Sales Executive,4327,No,12,2,Medium,High,Medium,Very High
297,Master,Life Sciences,Male,Married,34,ac9cf7d0-6982-4ee4-90ec-87079719eef9,7,0,0,9,9.0,Grecia,No,Travel_Rarely,Research & Development,2,Research Scientist,5484,No,17,3,Medium,High,Very High,Medium
298,,Technical Degree,Female,Married,46,c4956ba9-1c8d-4bff-bda0-8e2d9ddadc33,9,0,7,28,3.0,Misuri,No,Travel_Rarely,Sales,4,Manager,16872,Yes,12,2,High,Low,Medium,Medium
299,Master,Life Sciences,Female,Single,34,1e513e0f-eb25-4082-9df5-198e9010e94b,20,0,3,6,1.0,Misuri,No,Travel_Frequently,Research & Development,1,Research Scientist,2553,No,16,3,High,Medium,,High
300,College,Medical,Male,Single,40,6103c7c2-eadb-4ef0-a6e1-03879ef6ed89,16,2,5,21,1.0,Minnesota,No,Travel_Rarely,Human Resources,4,Manager,16437,Yes,21,2,High,High,Very High,Very High
301,Bachelor,Other,Male,Divorced,37,91ddddc1-d180-4d65-adb6-2852bfea9b8d,8,0,3,10,1.0,Rhode Island,No,Travel_Frequently,Research & Development,3,Research Director,12185,Yes,14,1,Medium,High,Very High,High
302,Bachelor,Technical Degree,Female,Married,38,6656a333-e13b-43ec-bc51-8f6cede17497,16,0,8,15,1.0,Suecia,No,Travel_Rarely,Research & Development,3,Research Director,13582,No,13,3,Very High,High,Low,
303,Master,Life Sciences,Female,Married,41,d36ef381-b8cf-40dc-8220-b1e98b937dda,8,0,1,21,0.0,Grecia,No,Travel_Rarely,Research & Development,4,Manufacturing Director,13570,No,23,3,Low,Medium,Medium,High
304,Bachelor,Life Sciences,Female,Divorced,56,29c704a4-7a7f-4431-966f-1c4569e439f6,2,0,1,19,4.0,Dakota del Sur,No,Travel_Rarely,Research & Development,1,Research Scientist,4257,Yes,18,3,High,High,Low,High
305,Bachelor,Life Sciences,Female,Single,41,83f9b0e2-0b5b-4208-a37b-f8013a0a97ef,19,0,0,16,3.0,Italia,No,Travel_Rarely,Sales,3,Manager,13591,Yes,18,3,Very High,High,Very High,High
306,Bachelor,Marketing,Female,Single,45,8be6aa6b-85bc-4318-92dc-55512f35247e,7,0,8,26,2.0,Polonia,Yes,Travel_Rarely,Sales,5,Manager,18824,Yes,16,2,Low,Low,,Low
307,,Life Sciences,Male,Single,38,a08000d0-084d-4e8a-980c-811e103ee068,2,0,0,19,8.0,California,No,Travel_Rarely,Sales,2,Sales Executive,6861,Yes,12,1,Medium,High,,High
308,Bachelor,Medical,Male,Married,28,52704635-69b9-42f1-a923-75ff685e9611,9,0,0,5,1.0,Arizona,No,Travel_Rarely,Research & Development,1,Research Scientist,2070,No,23,3,Very High,High,Very High,Very High
309,,Life Sciences,Male,Married,22,29dbbb33-71e0-4303-a1a0-d5a47bcba912,17,0,0,1,0.0,Portugal,Yes,Travel_Frequently,Research & Development,1,Research Scientist,2853,Yes,11,5,High,Medium,Very High,Medium
310,Master,Life Sciences,Male,Single,35,e4221261-048b-458f-b7b2-a5a4d3bdb79e,9,1,1,9,1.0,Kansas,No,Travel_Frequently,Research & Development,2,Research Scientist,4249,Yes,11,3,High,High,High,Medium
311,Below College,Medical,Male,Divorced,24,1a4d2027-d0cf-45d6-82f9-c4f9f0b51973,17,1,1,6,1.0,Massachusetts,No,Travel_Rarely,Research & Development,1,Laboratory Technician,3907,No,13,2,Medium,High,Low,Medium
312,College,Medical,Female,Single,27,45857a7d-1ea7-4d1c-8ea4-f94902e792f2,11,0,0,9,0.0,Italia,No,Travel_Rarely,Sales,2,Sales Executive,6500,No,14,5,Low,Very High,High,Medium
313,Bachelor,Life Sciences,Male,Divorced,28,02762003-6665-41c7-a3b8-7097617a3ab4,8,0,0,3,1.0,Reino Unido,No,Travel_Frequently,Research & Development,1,Research Scientist,2703,Yes,14,2,High,Medium,High,Very High
314,Master,Life Sciences,Female,Single,47,dff75ad7-ecdb-4821-8eba-8fcdba96a4ea,12,0,0,7,4.0,España,No,Travel_Rarely,Research & Development,1,Laboratory Technician,2105,No,12,2,Medium,High,High,High
315,Bachelor,Technical Degree,Male,Married,38,c7e6fb16-91e0-4332-a4ef-77bbd096874d,15,0,0,9,3.0,Georgia,No,Travel_Rarely,Research & Development,2,Manufacturing Director,6261,No,18,3,Very High,High,Very High,Low
316,Bachelor,Technical Degree,Male,Single,28,8fa52a01-3ee6-40f1-b560-07c01ac4cf18,6,0,1,5,2.0,Croacia,No,Travel_Rarely,Research & Development,1,Research Scientist,2080,No,11,2,Very High,High,Low,Medium
317,Master,Marketing,Female,Married,28,6cb9b288-c68b-40eb-88bb-3bf082f748ff,7,5,1,8,1.0,Virginia Occidental,No,Travel_Rarely,Sales,2,Sales Executive,4779,Yes,20,2,Medium,High,,Low
318,,Life Sciences,Female,Single,47,381aac5e-4140-4c8a-a1a7-cd1dd446a30a,4,0,0,9,1.0,Suiza,No,Travel_Rarely,Sales,2,Sales Executive,4163,Yes,17,0,Very High,High,Very High,High
319,Bachelor,Technical Degree,Female,Divorced,29,793cc7e4-52f2-4cce-9ef2-b0a4ca91fdb7,0,3,1,10,3.0,Hungría,Yes,Travel_Rarely,Research & Development,1,Laboratory Technician,3339,Yes,13,2,Medium,High,High,Low
320,Master,Medical,Female,Single,51,7ce7b4b1-f8ff-490a-9955-5d0c71d28d82,3,11,5,23,3.0,Texas,No,Travel_Frequently,Research & Development,3,Healthcare Representative,7484,No,20,1,Low,Medium,Low,High
321,College,Life Sciences,Male,Married,43,a717e343-7e63-41c9-9edb-8748a7aaedc2,8,3,7,25,1.0,España,No,Travel_Frequently,Sales,4,Manager,16959,Yes,12,3,High,High,Very High,Very High
322,,Medical,Female,Married,52,7266c3fc-b17c-4824-8e2c-f86c3ad304b8,16,0,0,24,2.0,Suiza,No,Travel_Frequently,Research & Development,4,Manufacturing Director,13247,Yes,11,3,Very High,Very High,High,Medium
323,,Life Sciences,Male,Married,55,506ce8ca-0663-45b0-8660-1a723b6c21bb,17,0,1,4,0.0,Florida,No,Travel_Rarely,Research & Development,2,Healthcare Representative,4035,Yes,16,2,Very High,High,High,Medium
324,Master,Marketing,Female,Married,31,5d7f16a2-3df1-49ae-888d-1e1feb2ff58f,4,1,0,9,2.0,Grecia,No,,Sales,3,Sales Executive,9637,No,14,3,Low,High,Low,Very High
325,Master,Marketing,Female,Single,46,c62f5a03-3f78-4b5b-a6b4-cbaff87fa847,18,2,0,22,3.0,Indiana,No,Travel_Rarely,Sales,5,Manager,18947,No,12,2,Medium,High,Low,Very High
326,College,Marketing,Female,Married,31,69a28040-de3e-4cf0-b82c-f423a6b4dfdb,14,0,0,9,1.0,Grecia,No,Non-Travel,Sales,2,Sales Executive,6932,No,13,2,Very High,High,,Very High
327,Master,Medical,Male,Married,48,6596db64-d02a-4937-8e5f-2cc5ca92f078,10,0,0,13,4.0,Francia,No,Travel_Rarely,Research & Development,1,Research Scientist,2259,No,17,2,Very High,High,High,Low
328,Bachelor,Medical,Male,Married,25,909d7ff7-2132-4d39-86ec-1a5ae6641dcd,3,0,1,6,5.0,Reino Unido,Yes,Travel_Rarely,Research & Development,1,Laboratory Technician,4031,No,13,5,Low,High,Low,High
329,Master,Marketing,Female,Married,38,09738ae5-4556-4f54-bf4a-3566db600580,19,0,2,20,2.0,Indiana,No,Travel_Rarely,Sales,2,Sales Representative,5405,Yes,20,4,Medium,Low,,Low
330,Master,Life Sciences,Male,Single,52,59d45e15-ae33-4cb4-b2ee-a388985a566b,6,11,7,33,1.0,España,No,Non-Travel,Sales,5,Manager,19068,Yes,18,2,Low,Medium,High,Very High
331,College,Life Sciences,Female,Single,38,41f1a189-0606-454a-aeee-a18e1ae3b810,2,0,0,2,1.0,Indiana,No,Travel_Rarely,Research & Development,1,Laboratory Technician,2288,No,12,3,High,High,Very High,High
332,Master,Life Sciences,Male,Single,35,a93c56ec-0ef8-4c4c-8c46-8814c04700b5,0,8,2,17,1.0,Nuevo México,No,Travel_Rarely,Research & Development,2,Research Scientist,6646,No,13,3,Medium,Low,Very High,Medium
333,Bachelor,Technical Degree,Male,Divorced,28,9e00d308-c7a8-4b4b-9ef2-d3e0c56221af,10,0,1,6,5.0,Oklahoma,Yes,Travel_Rarely,Research & Development,1,Laboratory Technician,2367,No,12,2,High,Medium,Very High,Low
334,Bachelor,Life Sciences,Male,Single,20,3ab88663-a50d-42ce-82f8-d79087833ac9,6,0,0,2,1.0,Suecia,No,Travel_Rarely,Research & Development,1,Laboratory Technician,3033,No,12,2,Low,Medium,High,Low
335,Master,Other,Male,Single,33,49f558ff-4c8b-48b1-9808-8538d3e06f8f,7,2,4,10,1.0,Suecia,Yes,Travel_Rarely,Research & Development,1,Research Scientist,2686,Yes,13,2,Very High,High,Very High,High
336,Below College,Life Sciences,Female,Divorced,41,3402fbad-001f-4f57-b68d-633c09eed7f2,10,2,7,21,1.0,Maryland,No,Non-Travel,Research & Development,5,Research Director,19973,No,22,3,Medium,Low,High,Medium
337,Bachelor,Life Sciences,Male,Married,56,f668c7ca-3ba0-4511-8151-fead0019a353,19,3,3,33,4.0,Países Bajos,No,Travel_Rarely,Research & Development,4,Manufacturing Director,13402,Yes,12,0,Very High,High,Medium,Low
338,Master,Medical,Male,Divorced,33,ef23a9c0-d95d-4707-a4a6-d251ac7c3e69,5,0,4,6,1.0,Hungría,No,Travel_Rarely,Sales,2,Sales Executive,5505,No,14,5,Very High,High,Very High,High
339,Below College,Life Sciences,Male,Single,20,4917b610-1972-497c-9239-61596e3ea61c,10,0,2,2,1.0,Nuevo México,No,Travel_Rarely,Sales,1,Sales Representative,2728,No,11,3,Very High,High,Low,Low
340,,Medical,Male,Single,24,3871aec2-e568-47ed-93bc-3c76caee5f17,8,1,0,6,8.0,Finlandia,No,Travel_Rarely,Research & Development,1,Laboratory Technician,3597,No,22,2,Very High,High,Medium,Very High
341,,Life Sciences,Male,Divorced,34,d0ccb558-d2e5-484e-93a7-ed3c019a79c1,19,1,4,10,0.0,Noruega,No,Travel_Rarely,Research & Development,3,Healthcare Representative,8500,No,11,0,Very High,High,Very High,Very High
342,Bachelor,Life Sciences,Male,Married,50,72aedb14-49f3-4dab-8436-d5a563f6990a,12,0,0,8,4.0,Luisiana,No,Travel_Rarely,Research & Development,1,Laboratory Technician,2380,No,18,5,Low,High,Very High,Medium
343,Bachelor,Life Sciences,Male,Married,32,7cbb0bf2-7a8b-4a77-a58d-435939a5c1d5,10,0,2,5,1.0,Texas,No,Travel_Frequently,Research & Development,1,Laboratory Technician,2794,No,20,3,Medium,Very High,Medium,High
344,College,Life Sciences,Male,Divorced,32,e64bef51-0dfa-4cb1-be71-d5b63e0f98cc,6,0,4,7,0.0,Wyoming,No,Travel_Rarely,Research & Development,1,Research Scientist,3298,Yes,12,5,Low,Very High,Medium,
345,Below College,Medical,Female,Married,22,b0e00388-c9ac-467b-acd4-53035e9c0359,2,0,0,1,1.0,República Checa,Yes,Travel_Rarely,Research & Development,1,Laboratory Technician,2398,Yes,17,6,High,High,Low,High
346,Bachelor,Medical,Female,Married,45,9a581e15-8d69-4983-a7a2-ac3e2ed8bc98,15,0,2,7,4.0,Países Bajos,No,Travel_Rarely,Research & Development,1,Research Scientist,4477,Yes,19,2,Low,High,High,High
347,College,Medical,Female,Married,48,3d47e2c9-914d-4591-bc82-93d395a72dbf,12,0,0,19,2.0,Finlandia,Yes,,Sales,1,Sales Representative,2655,Yes,11,3,Very High,High,High,High
348,Bachelor,Life Sciences,Male,Divorced,32,871698ae-c3ff-47a9-ac4f-474f04831655,19,0,2,4,0.0,Nebraska,No,Non-Travel,Research & Development,1,Laboratory Technician,2314,No,12,2,Very High,High,Very High,Medium
349,,Life Sciences,Female,Married,27,80a17377-4908-4898-bb6c-c3255ca48766,0,1,2,4,0.0,Hawaii,No,Travel_Rarely,Research & Development,2,Manufacturing Director,4227,No,18,2,Low,High,Very High,Medium
350,Bachelor,Life Sciences,Male,Divorced,23,f8053ec0-f4ac-4c12-ba17-4e1668b6c673,3,0,2,3,1.0,Virginia Occidental,Yes,Travel_Rarely,Sales,1,Sales Representative,2275,Yes,21,2,High,High,Very High,Medium
351,Bachelor,Life Sciences,Male,Married,42,91e10ab0-dc31-41a7-8b15-5418e44fba27,1,3,9,24,5.0,Francia,No,Travel_Rarely,Research & Development,5,Manager,18880,No,11,2,Low,High,High,Low
352,Master,Marketing,Male,Married,40,8202c8c6-d585-41db-ba75-1ae8a0fb1aea,12,0,10,15,7.0,Delaware,No,Travel_Rarely,Sales,3,Sales Executive,10855,No,11,2,High,Medium,Very High,Low
353,Below College,Other,Female,Single,21,ac0a7c6b-932b-4482-9fee-2fdb3a4656e2,11,0,0,1,1.0,Georgia,Yes,Travel_Rarely,Research & Development,1,Research Scientist,2693,No,19,3,Very High,High,Very High,Low
354,Below College,Marketing,Male,Single,21,039dc055-4ff3-4a54-a89e-69ec08fb78dc,15,0,0,1,1.0,Hawaii,Yes,Travel_Rarely,Sales,1,Sales Representative,2679,No,13,3,Medium,High,Medium,Medium
355,Master,Life Sciences,Male,Married,41,764e4604-285d-4415-847d-db0e29416e1f,19,0,0,6,3.0,Ohio,No,Travel_Rarely,Research & Development,1,Laboratory Technician,4766,Yes,11,4,Medium,High,Very High,Low
356,Master,Medical,Male,Divorced,46,7bb09b12-a188-42f7-afcd-35a4936340b1,5,1,0,23,9.0,Misuri,No,Travel_Rarely,Research & Development,5,Research Director,19627,No,17,0,Very High,High,Very High,Very High
357,Master,Technical Degree,Male,Divorced,46,a780ae6e-187d-4f04-ae11-5d237db01248,15,1,2,12,2.0,Misuri,No,,Research & Development,2,Manufacturing Director,7379,No,11,3,Very High,High,Very High,High
358,Below College,Medical,Female,Married,47,335a5ace-96a0-482a-813a-e59c286ef26f,9,5,1,14,0.0,Países Bajos,No,Non-Travel,Research & Development,3,Research Director,11957,No,18,3,High,High,,Low
359,College,Medical,Male,Divorced,28,f2e8418f-51b6-4bf4-9041-352c25cb481c,1,0,2,10,1.0,Colorado,No,Travel_Rarely,Research & Development,2,Laboratory Technician,4558,No,12,2,High,High,Low,Very High
360,Bachelor,Life Sciences,Male,Single,34,ec5b22ad-cad7-4329-b84a-5de8a2257dc9,7,0,1,9,1.0,Dinamarca,Yes,,Research & Development,2,Laboratory Technician,6074,Yes,24,3,Low,Low,High,Very High
361,Bachelor,Medical,Male,Married,50,46b67fe3-aeb7-45c6-afae-60b36082d841,11,2,5,32,1.0,Montana,No,Travel_Frequently,Human Resources,5,Manager,18200,No,11,2,Low,High,Medium,High
362,Below College,Technical Degree,Female,Single,31,aa7e43c7-b194-4e9b-ac25-484462529574,4,0,4,9,2.0,Austria,No,Travel_Frequently,Research & Development,2,Manufacturing Director,5238,No,20,3,Very High,High,Very High,Very High
363,Master,Life Sciences,Male,Married,44,79e50bd8-b762-4c3d-8641-41cd63fc22d3,6,1,1,10,2.0,Polonia,No,Travel_Rarely,Research & Development,2,Healthcare Representative,5033,No,15,5,Medium,Very High,Low,Very High
364,Master,Life Sciences,Male,Single,35,9a18db88-dbb2-4f42-a864-6f16a5567428,18,0,0,10,9.0,Misisipi,No,Travel_Rarely,Research & Development,2,Healthcare Representative,6540,No,19,5,High,Medium,Medium,High
365,Bachelor,Life Sciences,Female,Married,34,e4dbf94e-fa1a-435d-977a-53cf2e36def0,3,3,5,10,1.0,Oklahoma,No,Travel_Rarely,Research & Development,1,Research Scientist,2929,No,12,3,Medium,Medium,Very High,Medium
366,Master,Life Sciences,Male,Single,25,df9a2431-7e6f-40a6-8ece-a9efa7821bf3,3,1,1,5,0.0,Austria,No,Travel_Rarely,Sales,2,Sales Executive,4950,No,14,4,High,High,Very High,Medium
367,Master,Medical,Male,Divorced,34,46b26cf2-86a6-454e-b99a-4fb87d748cc2,4,2,0,5,1.0,Nevada,No,Travel_Frequently,Research & Development,1,Research Scientist,3815,Yes,17,4,Very High,High,High,Very High
368,Bachelor,Life Sciences,Female,Married,40,d0b67b8b-9e44-47f3-a31a-ed6d2d4fc2ea,12,11,10,18,1.0,Austria,No,,Research & Development,3,Manufacturing Director,10435,No,13,2,Low,Medium,High,Very High
369,College,Life Sciences,Male,Divorced,44,a1547909-8459-4942-b8e3-16ec846d829b,18,10,8,26,1.0,Croacia,No,Travel_Rarely,Research & Development,5,Manager,19190,No,14,4,High,Very High,Low,Very High
370,Bachelor,Medical,Male,Married,38,500d94d1-b6f1-48cf-b6aa-f9c9577d54e6,0,1,0,15,3.0,Misuri,No,Travel_Rarely,Research & Development,2,Healthcare Representative,5811,Yes,16,2,Medium,Low,Very High,High
371,,Life Sciences,Female,Single,34,f71b6b6f-2858-4443-91da-cb449f605c11,8,0,8,13,0.0,Washington,No,Travel_Rarely,Research & Development,3,Research Director,11994,No,11,4,Low,High,Medium,High
372,Master,Medical,Male,Married,29,1b45f03a-2df5-4109-8d65-b0a7974475f2,14,0,1,10,1.0,Finlandia,No,Travel_Rarely,Research & Development,3,Research Director,11935,No,18,2,Medium,Medium,,High
373,Bachelor,Life Sciences,Male,Married,34,b152ac67-a925-414d-a359-f5fd2b1118df,4,1,0,14,4.0,Vermont,No,Travel_Frequently,Human Resources,2,Human Resources,4490,No,11,5,High,Medium,Medium,Very High
374,College,Life Sciences,Male,Single,32,1bae8671-4a04-4b08-8ac4-cbadb72a6037,4,3,2,8,0.0,Wyoming,No,Travel_Frequently,Research & Development,1,Laboratory Technician,3068,No,13,2,Very High,High,Very High,High
375,Master,Life Sciences,Female,Married,36,e17fc81d-55c4-4c2e-9f5b-e34675ba4725,3,0,3,11,7.0,Alabama,No,Non-Travel,Research & Development,2,Laboratory Technician,5674,No,15,3,Medium,High,,High
376,,Life Sciences,Male,Married,32,2452d8f9-f9c1-40d9-a931-aff53b816542,18,0,1,10,6.0,Virginia Occidental,No,Travel_Frequently,Research & Development,1,Research Scientist,3433,No,13,3,Low,High,,Low
377,Master,Technical Degree,Male,Married,32,5a5589fb-2cbc-40b1-8a32-2afe1e9590a2,10,1,2,9,4.0,Arizona,No,Non-Travel,Research & Development,2,Research Scientist,4087,No,14,3,Very High,High,Low,Medium
378,Bachelor,Life Sciences,Female,Single,20,cf635158-402e-41db-9453-b75a6dcfbb9f,5,1,0,1,1.0,Italia,Yes,Travel_Frequently,Research & Development,1,Laboratory Technician,2926,Yes,18,5,Very High,Medium,Very High,Medium
379,Bachelor,Medical,Male,Divorced,40,eff9c347-6026-444d-8073-846f4ed37881,15,0,2,8,2.0,Reino Unido,No,Travel_Rarely,Research & Development,1,Research Scientist,2345,No,14,3,High,High,High,High
380,College,Life Sciences,Male,Divorced,27,3f73e4a7-f7b1-43c7-a651-d3fe33ca219b,7,0,2,5,1.0,Grecia,No,Travel_Rarely,Research & Development,1,Research Scientist,2517,No,11,2,Low,High,High,Medium
381,Master,Life Sciences,Male,Married,38,24da5b48-fed4-4e91-9934-71261e192ab7,0,0,0,14,9.0,California,No,Travel_Rarely,Research & Development,2,Manufacturing Director,6553,No,14,3,Very High,High,High,Medium
382,College,Life Sciences,Male,Divorced,57,ec50d9e3-f3cc-4483-bdc9-08d76c9db993,16,0,0,12,3.0,Alemania,No,Travel_Rarely,Research & Development,3,Healthcare Representative,9439,Yes,16,2,High,Very High,Very High,Medium
383,Master,Marketing,Male,Single,60,4b7010b9-606e-4248-be5a-14553a2e9996,11,1,1,10,8.0,Maryland,No,Travel_Rarely,Sales,2,Sales Executive,5405,No,14,1,Low,High,Low,Very High
384,,Life Sciences,Male,Divorced,31,041c38e2-36b0-4967-b22f-4eb2ff1e8281,9,1,5,10,3.0,Hawaii,No,Travel_Rarely,Research & Development,2,Laboratory Technician,5915,No,22,3,Very High,High,Very High,Very High
385,Bachelor,Medical,Male,Single,39,034840e5-9555-4ea1-aba1-69d1dda32307,14,0,3,6,0.0,Hungría,Yes,Travel_Rarely,Research & Development,1,Research Scientist,3904,No,13,2,High,High,Low,Low
386,Below College,Medical,Female,Divorced,27,e2aded7f-4c20-4db8-b698-d10f6750d972,9,0,4,6,1.0,Nueva Jersey,No,Travel_Frequently,Sales,2,Sales Executive,4647,Yes,20,3,Very High,Very High,Very High,Medium
387,Bachelor,Medical,Male,Married,33,af01e7f2-a914-4881-8be0-6dbcaff126ed,1,2,6,14,0.0,Oklahoma,No,Travel_Rarely,Research & Development,3,Research Director,11691,No,11,3,High,High,High,Very High
388,Doctor,Medical,Male,Married,38,7b385cb7-d1d5-473a-b846-947325a1858e,12,0,0,6,6.0,Grecia,No,Travel_Rarely,Research & Development,1,Research Scientist,3057,Yes,13,0,Very High,High,High,Medium
389,Master,Medical,Male,Single,31,08c26c21-3d00-42b6-b2ad-b5d7ab9fa82e,15,0,0,1,1.0,Nuevo México,No,Travel_Rarely,Research & Development,1,Research Scientist,2501,No,17,4,High,High,Medium,Medium
390,Master,Other,Male,Divorced,40,bbcf7d02-0e87-445a-afcc-f6896964efa8,8,0,7,11,3.0,Delaware,No,Non-Travel,Research & Development,2,Laboratory Technician,3975,No,11,2,High,High,High,High
391,,Life Sciences,Female,Married,46,af689209-f4ce-4953-9bd9-8a56d71faef8,5,0,1,14,5.0,Wyoming,Yes,Travel_Rarely,Sales,3,Sales Executive,7314,No,21,2,High,High,Medium,High
392,,Medical,Female,Married,32,e1d1dfdd-84fa-4f5c-bc7d-fe67330dbc46,17,3,2,8,1.0,Alemania,No,Travel_Rarely,Research & Development,2,Manufacturing Director,6725,No,12,2,High,High,Low,
393,,Life Sciences,Male,Divorced,38,cf9aaf59-965b-4096-a2be-5cb904328a77,9,3,0,17,0.0,Reino Unido,No,,Sales,3,Sales Executive,10609,No,12,6,Low,High,High,High
394,Master,Life Sciences,Female,Divorced,48,c7edd35b-47ba-4fe7-ba48-8e33f72d69c2,1,3,5,18,8.0,Utah,No,Travel_Rarely,Sales,2,Sales Executive,6439,No,14,2,High,High,High,High
395,,Life Sciences,Male,Married,30,e69a196c-28e3-475b-b17a-cb592a0dc755,10,0,1,7,3.0,Nueva Jersey,No,Travel_Rarely,Research & Development,1,Laboratory Technician,3833,No,21,2,Very High,Low,High,High
396,Below College,Medical,Male,Single,18,919f249a-f4dc-4d54-8b60-296eb18b2117,8,0,0,0,1.0,Dinamarca,Yes,,Research & Development,1,Laboratory Technician,1904,No,12,0,High,High,High,Very High
397,Bachelor,Life Sciences,Female,Divorced,47,1eedac53-3356-40db-ad26-6fc57e7cc040,2,7,2,28,8.0,Iowa,No,Travel_Rarely,Research & Development,3,Manufacturing Director,10333,Yes,12,4,High,Medium,Medium,High
398,Master,Life Sciences,Male,Married,51,10e8d321-ed16-46f5-8237-faced452ae1c,4,0,1,10,3.0,Alabama,No,Travel_Rarely,Research & Development,1,Laboratory Technician,2075,No,23,4,Very High,High,Very High,Medium
399,,Life Sciences,Male,Married,36,d871aec5-159f-43a9-8842-eaae079238d4,17,0,0,4,4.0,Suecia,No,Travel_Frequently,Research & Development,1,Laboratory Technician,3688,No,18,2,High,Very High,Very High,Very High
400,Bachelor,Medical,Female,Divorced,40,110751c2-99b7-4259-a43c-87527e7ebe8e,2,1,5,20,1.0,Indiana,No,Travel_Frequently,Research & Development,2,Research Scientist,5605,No,11,2,Medium,High,Medium,Low
401,College,Medical,Male,Married,45,54ebe5f8-55cc-43c1-9078-fb3fe52b8361,14,3,8,21,0.0,Washington,No,Travel_Rarely,Research & Development,4,Healthcare Representative,13496,Yes,14,2,High,High,Very High,Medium
402,Master,Technical Degree,Male,Married,55,9cf9df57-22bd-4111-b48f-f5ea2a3aeac9,16,0,1,19,8.0,Utah,No,,Research & Development,1,Research Scientist,2662,No,20,2,Medium,Medium,,Medium
403,Bachelor,Life Sciences,Female,Married,50,541aa96b-fbd3-482a-bb3b-a9e2c2ec14f7,0,0,6,19,0.0,Alemania,No,Non-Travel,Sales,2,Sales Executive,6347,No,12,3,Very High,High,High,Low
404,Below College,Marketing,Male,Divorced,27,7a814f96-dec3-4de7-ba22-2239ba26c269,11,0,1,5,0.0,Países Bajos,Yes,Travel_Rarely,Sales,1,Sales Representative,3041,No,11,3,High,High,Low,Medium
405,Bachelor,Life Sciences,Male,Single,43,44c1c510-833b-404a-9412-9085d2e5a00c,9,0,1,7,4.0,Arkansas,No,Non-Travel,Research & Development,1,Research Scientist,2438,No,13,2,Low,High,High,High
406,Bachelor,Medical,Female,Single,54,54719e4e-31b9-4d67-bc8f-b2c6780eee11,4,7,3,29,6.0,Países Bajos,No,Travel_Rarely,Research & Development,4,Research Director,17328,No,19,3,Very High,High,Very High,Very High
407,College,Marketing,Female,Married,40,0a990c70-3ea9-4b59-9713-f1e9db82c4a4,1,0,7,15,3.0,Maine,No,Travel_Rarely,Sales,2,Sales Executive,5677,No,14,4,Medium,High,Medium,High
408,Master,Marketing,Male,Married,50,498006f9-72cf-41d4-add1-70bd62624fcd,5,2,0,4,7.0,Austria,No,Travel_Rarely,Sales,1,Sales Representative,3875,No,15,2,Very High,High,Medium,Very High
